id,university,typical,subject,start,end,term,first_result,interview_date,final_result
131,연세대학교,활동우수자전형,경제학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,12월 1일,12월 14일
132,연세대학교,활동우수자전형,수학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,12월 1일,12월 14일
133,연세대학교,활동우수자전형,물리학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,12월 1일,12월 14일
134,연세대학교,활동우수자전형,화학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,12월 1일,12월 14일
135,연세대학교,활동우수자전형,지구시스템학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,12월 1일,12월 14일
136,연세대학교,활동우수자전형,천문우주학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,12월 1일,12월 14일
137,연세대학교,활동우수자전형,대기과학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,12월 1일,12월 14일
138,연세대학교,활동우수자전형,화공생명공학부,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,12월 1일,12월 14일
139,연세대학교,활동우수자전형,전기전자공학부,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,12월 1일,12월 14일
140,연세대학교,활동우수자전형,건축공학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,12월 1일,12월 14일
141,연세대학교,활동우수자전형,도시공학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,12월 1일,12월 14일
142,연세대학교,활동우수자전형,사회환경시스템공학부,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,12월 1일,12월 14일
143,연세대학교,활동우수자전형,기계공학부,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,12월 1일,12월 14일
144,연세대학교,활동우수자전형,신소재공학부,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,12월 1일,12월 14일
145,연세대학교,활동우수자전형,산업공학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,12월 1일,12월 14일
146,연세대학교,활동우수자전형,컴퓨터과학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,12월 1일,12월 14일
147,연세대학교,활동우수자전형,시스템생물학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,12월 1일,12월 14일
148,연세대학교,활동우수자전형,생화학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,12월 1일,12월 14일
149,연세대학교,활동우수자전형,생명공학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,12월 1일,12월 14일
150,연세대학교,활동우수자전형,신학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,12월 1일,12월 14일
151,연세대학교,활동우수자전형,정치외교학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,12월 1일,12월 14일
152,연세대학교,활동우수자전형,행정학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,12월 1일,12월 14일
153,연세대학교,활동우수자전형,사회복지학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,12월 1일,12월 14일
154,연세대학교,활동우수자전형,사회학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,12월 1일,12월 14일
155,연세대학교,활동우수자전형,문화인류학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,12월 1일,12월 14일
156,연세대학교,활동우수자전형,언론홍보영상학부,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,12월 1일,12월 14일
